:START_ID;:END_ID;corresponding_author:boolean;:TYPE
Peng Li 0001;71217;True;WRITTEN_BY
Philip S. Wilcox;71219;True;WRITTEN_BY
W. J. L. McCready;71219;True;WRITTEN_BY
Anand Rajaram;71220;True;WRITTEN_BY
David Z. Pan;71220;True;WRITTEN_BY
Cheng-Ta Hsieh;71221;True;WRITTEN_BY
Chih-Shun Ding;71221;True;WRITTEN_BY
Massoud Pedram;71221;True;WRITTEN_BY
Qing Wu 0002;71221;True;WRITTEN_BY
Amar Shrestha;71222;True;WRITTEN_BY
Daniel Patrick Rider;71222;True;WRITTEN_BY
Haowen Fang;71222;True;WRITTEN_BY
Qinru Qiu;71222;True;WRITTEN_BY
Zaidao Mei;71222;True;WRITTEN_BY
Ajay Joshi;71223;True;WRITTEN_BY
Aydan Uyar;71223;True;WRITTEN_BY
Bennett B. Goldberg;71223;True;WRITTEN_BY
Boyou Zhou;71223;True;WRITTEN_BY
M. Selim Ünlü;71223;True;WRITTEN_BY
Mahmoud Zangeneh;71223;True;WRITTEN_BY
Ronen Adato;71223;True;WRITTEN_BY
Tianyu Yang;71223;True;WRITTEN_BY
Hengyu Zhao;71224;True;WRITTEN_BY
Jishen Zhao;71224;True;WRITTEN_BY
Sabur Baidya;71224;True;WRITTEN_BY
Sujit Dey;71224;True;WRITTEN_BY
Yu-Jen Ku;71224;True;WRITTEN_BY
Luca P. Carloni;71225;True;WRITTEN_BY
E. J. Orosz;71226;True;WRITTEN_BY
N. H. Garges;71226;True;WRITTEN_BY
Peter S. Bottorff;71226;True;WRITTEN_BY
Richard E. France;71226;True;WRITTEN_BY
Anand Raghunathan;71227;True;WRITTEN_BY
Indradeep Ghosh;71227;True;WRITTEN_BY
Niraj K. Jha;71227;True;WRITTEN_BY
Andrew B. Kahng;71228;True;WRITTEN_BY
Bill Lin 0001;71228;True;WRITTEN_BY
Siddhartha Nath;71228;True;WRITTEN_BY
Arindam Basu;71229;True;WRITTEN_BY
Dashan Shang;71229;True;WRITTEN_BY
Kwunhang Wong;71229;True;WRITTEN_BY
Ning Lin;71229;True;WRITTEN_BY
Shaocong Wang;71229;True;WRITTEN_BY
Xiaoming Chen 0003;71229;True;WRITTEN_BY
Yangu He;71229;True;WRITTEN_BY
Yue Zhang 0011;71229;True;WRITTEN_BY
Zhongrui Wang;71229;True;WRITTEN_BY
Di Liu 0002;71230;True;WRITTEN_BY
Hao Kong;71230;True;WRITTEN_BY
Shuo Huai;71230;True;WRITTEN_BY
Weichen Liu;71230;True;WRITTEN_BY
Xiangzhong Luo;71230;True;WRITTEN_BY
C. Richard Ho;71231;True;WRITTEN_BY
David E. Shaw;71231;True;WRITTEN_BY
Joseph Gagliardo;71231;True;WRITTEN_BY
Martin M. Deneroff;71231;True;WRITTEN_BY
Michael Theobald;71231;True;WRITTEN_BY
Ron O. Dror;71231;True;WRITTEN_BY
Raghunath Raghavan;71232;True;WRITTEN_BY
Sartaj Sahni;71232;True;WRITTEN_BY
Carl Ebeling;71233;True;WRITTEN_BY
Soha Hassoun;71233;True;WRITTEN_BY
Fur-Shing Tsai;71234;True;WRITTEN_BY
Wells Jong;71234;True;WRITTEN_BY
Ying-Tsai Chang;71234;True;WRITTEN_BY
Yu-Chin Hsu;71234;True;WRITTEN_BY
Donald E. Thomas;71235;True;WRITTEN_BY
Prashant Sawkar;71235;True;WRITTEN_BY
Richard E. Merwin;71236;True;WRITTEN_BY
Ankit Bansal;71237;True;WRITTEN_BY
Derek Chiou;71237;True;WRITTEN_BY
Nikhil A. Patil;71237;True;WRITTEN_BY
Bei Yu 0001;71238;True;WRITTEN_BY
Haoran Lu;71238;True;WRITTEN_BY
